Date,Thực tế,Dự đoán theo LSTM,Dự đoán theo GRU,Dự đoán theo BiLSTM,Dự đoán theo Transformers,Dự đoán theo mô hình ConvLSTM
2020-01-10 12:00:00,1.0,1.0419836,1.0899756,0.9929863,1.0247827,0.91060585
2020-01-10 14:00:00,1.40935129492129,1.3994951,1.4883133,1.3937372,1.0418017,1.3029603
2020-01-10 16:00:00,1.0,1.0592296,1.1773838,1.0109642,1.0243528,0.92111254
2020-01-10 18:00:00,5.0,5.0787992,5.1229367,5.0337963,5.2162538,4.938685
2020-01-10 20:00:00,2.0,1.9458992,2.1503963,2.0761003,1.6265762,1.8655097
2020-01-10 22:00:00,2.0,1.93349,2.1000926,2.0477886,1.7854854,1.8519547
2020-01-11 00:00:00,1.0,0.90971756,1.2241296,1.0661458,1.0248094,0.81334275
2020-01-11 02:00:00,1.0,0.90420055,1.109298,1.0575339,1.0246577,0.88801754
2020-01-11 04:00:00,1.0,0.99145997,1.1052618,1.0672146,1.0250111,1.0502386
2020-01-11 06:00:00,1.08885835052719,0.9312375,1.0839906,1.1342918,1.0314788,1.0642956
2020-01-11 08:00:00,1.0,0.99964595,1.1108193,1.0858562,1.02557,0.9861824
2020-01-11 10:00:00,1.0,0.8779499,1.1052284,1.0649468,1.0281589,0.97361916
2020-01-11 12:00:00,1.0,0.9138699,1.0985659,1.0424212,1.0252324,0.9240766
2020-01-11 14:00:00,1.0,1.0188491,1.1296364,1.0856949,1.0251961,0.94751537
2020-01-11 16:00:00,1.0,0.91635954,1.1528611,1.1292151,1.0245811,0.8769633
2020-01-11 18:00:00,2.0,1.8968527,2.1372964,2.082557,1.9035821,1.8765378
2020-01-11 20:00:00,1.0,0.8977323,1.2141513,1.1192731,1.0254422,0.77720845
2020-01-11 22:00:00,1.68633689577252,1.6310846,1.8087823,1.7530191,1.1822201,1.6463523
2020-01-12 00:00:00,1.0,0.93736434,1.1152936,1.0663631,1.0253983,0.9341271
2020-01-12 02:00:00,1.0,0.83537686,1.2042005,1.13953,1.0257983,0.7445688
2020-01-12 04:00:00,1.0,0.92428386,1.0441008,1.0939963,1.0259322,0.85135627
2020-01-12 06:00:00,1.0,0.8524544,1.0247177,1.1486888,1.0269383,0.84331053
2020-01-12 08:00:00,1.0,0.9323339,0.9874603,1.0895712,1.028063,0.8619068
